cat,testname,res
info,SysBenchVer,0.2.0-dev
info,JuliaVer,1.4.1
info,OS,Linux (x86_64-pc-linux-gnu)
info,CPU,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
info,WORD_SIZE,64
info,LIBM,libopenlibm
info,LLVM,"libLLVM-8.0.1 (ORCJIT, skylake)"
info,GPU,
cpu,FloatMul,1.1339999999999999e-6
cpu,FusedMulAdd,1.6e-8
cpu,FloatSin,3.615e-6
cpu,VecMulBroad,2.9521608040201004e-5
cpu,CPUMatMul,0.0287155
cpu,MatMulBroad,0.0045513333333333334
cpu,3DMulBroad,0.0011464000000000001
cpu,peakflops,1.4181657387608237e11
cpu,FFMPEGH264Write,137.047713
mem,DeepCopy,0.0001815
diskio,DiskWrite1KB,0.0427835
diskio,DiskWrite1MB,0.875754
diskio,DiskRead1KB,0.0078745
diskio,DiskRead1MB,0.150918
loading,JuliaLoad,100.8979295
compilation,compilecache,269.615246
compilation,create_expr_cache,1.148646
